"id","locale","name","text","image"
"100001","es","Magnum .44","Arma: arma de fuego.Ataque: 2 de daño a distancia, con una maniobra opcional por combate.",""
"102217","es","La Realeza de la calle 47","Mortal único con 2 de vida. 1 de fuerza, 0 de sangrado.Puedes quemar esta carta para reducir un sangrado contra ti en 3.","/img/cards/es/102217.jpg"
"100015","es","Zona de caza: Academia","Lugar único. Zona de caza.Durante tu fase de enderezamiento, un vampiro preparado que controles puede ganar 1 de sangre. Un vampiro puede ganar sangre de sólo una zona de caza por turno.","/img/cards/es/100015.jpg"
"100018","es","Belleza dolorosa","Ponle esta carta a un Toreador. Si este Toreador es bloqueado, el controlador del siervo bloqueador quema 1 de reserva sanguínea antes de la resolución del bloqueo.","/img/cards/es/100018.jpg"
"100029","es","Ayuda de murciélagos","[ani] Ataque: 1 de daño a distancia, con 1 maniobra opcional.[ANI] Como antes, con 1 acoso opcional.",""
"100031","es","Aires de euforia","Sólo utilizable durante una acción de sangrado.[pre] +1 de sangrado, con +1 de sangrado adicional si este vampiro es Toreador (limitada).[PRE] +2 de sangrado, con +1 de sangrado adicional si este vampiro es Toreador (limitada).","/img/cards/es/100031.jpg"
"100037","es","Alamut","Lugar único.Después de que un Assamita que controles sangre con éxito a un Matusalén, pon en esta carta la reserva sanguínea perdida por ese Matusalén. Quema X de sangre de esta carta durante la fase de votación de una acción política para darle +X votos a un vampiro que controles.","/img/cards/es/100037.jpg"
"100046","es","Emboscada","(D) Entra en combate con un siervo girado. Este siervo activo obtiene 1 maniobra opcional durante ese combate.",""
"100052","es","La Prensa Libre Anarquista","Única. Requiere a un Anarquista preparado.Pon esta carta en juego. Gírala para darle +1 de intercepción a un Anarquista que controles. Gírala después de que un Anarquista cace con éxito para añadir 1 de sangre a ese Anarquista.","/img/cards/es/100052.jpg"
"100054","es","Ferrocarril Anarquista","Lugar único.Gírala para darle +1 de sigilo a un Anarquista.","/img/cards/es/100054.jpg"
"100058","es","Alborotador anarquista","Única.Pon esta carta en juego. Durante tu fase de enderezamiento, puedes darle el control del /Alborotador anarquista/ a tu presa y girar hasta dos vampiros que controle o bien quemar un equipo de uno de sus siervos.","/img/cards/es/100058.jpg"
"100059","es","Alzamiento Anarquista","Si el referéndum prospera, cada Matusalén quema 1 de reserva sanguínea por cada siervo que controle.","/img/cards/es/100059.jpg"
"100064","es","Influencia de los Ancianos","Sólo se puede jugar o proponer un ejemplar de esta carta por partida.Si el referéndum prospera, cada Matusalén puede elegir a un vampiro preparado que controle; cada Matusalén gana tanta reserva sanguínea como capacidad tenga el vampiro elegido, y luego quema 5 de reserva sanguínea.","/img/cards/es/100064.jpg"
"100065","es","Fortalecer a los Ancilla","Si el referéndum prospera, cada Matusalén quema 1 de reserva sanguínea por cada siervo que controle.","/img/cards/es/100065.jpg"
"100070","es","Animalismo","Disciplina.Ponle esta carta a un vampiro. Este vampiro obtiene +1 nivel de Animalismo [ani] y +1 de capacidad. No se le puede poner a un vampiro con Animalismo superior [ANI].",""
